Time (s),Total Energy (J),Average Power (W)
13.4152,112.89848121125578,8.41571
13.6242,111.80368147881813,8.20626
13.5157,111.30131263391979,8.23496
13.5925,112.27242736314622,8.25988
13.4229,110.7388623431599,8.25
13.5468,112.64900325508131,8.31554
13.4651,111.8338820297505,8.30546
13.912,114.52001444106406,8.23174
13.3703,114.0167964973748,8.52762
13.3929,112.55384131008486,8.40399
13.3872,111.78811681466448,8.35037
13.4698,111.58004016251425,8.28372
13.4986,111.1098300043443,8.23121
13.4239,111.28299529373953,8.28992
13.4415,111.45146332774527,8.29159
13.4038,111.87289901475617,8.34636
13.3294,111.68687843721045,8.37899
13.4871,112.50579669007902,8.34173
15.1106,128.4659370971832,8.50171
13.8626,116.20117857149694,8.38235
13.7258,111.39019265247998,8.11539
13.5005,111.63447913712287,8.26891
13.472,112.06405475253837,8.31829
13.392,112.1736751720224,8.37617
13.447,111.67889575260983,8.30512
13.4253,111.68081919328529,8.31868
13.541,112.50524031095483,8.30849
13.4131,111.53388263523516,8.31529
13.4233,111.97141387876422,8.34157
13.4409,111.8486573990524,8.32152
13.4361,112.91114047088388,8.40357
13.4134,111.75406720557373,8.33152
13.4177,112.31151498267798,8.3704
13.4041,111.92609875636333,8.35014
13.437,111.5396886473261,8.30094
13.412,112.63816530431052,8.39831
13.4971,112.68348020453732,8.34872
13.4277,112.25604659737223,8.36004
13.3962,112.62858308975217,8.4075
13.4457,112.55928818167854,8.3714
13.4178,112.40123979778741,8.37702
13.4849,112.99976654295119,8.37973
13.342,112.18063923074249,8.40808
13.4336,111.84096847668775,8.32547
13.3767,112.4223021050484,8.40434
13.4064,112.26740384557934,8.37416
13.4212,111.69829632275582,8.32253
13.5355,112.68638076066946,8.32525
13.4084,112.45028925252473,8.38656
13.4137,111.60626276114886,8.32032
