Time (s),Total Energy (J),Average Power (W)
14.564,119.62972740496883,8.21407
14.7157,118.86173474951363,8.07721
14.6874,118.11091243118847,8.04165
14.6578,118.877808094805,8.11021
14.6778,118.76789530189433,8.09167
14.6487,118.81919425895899,8.11124
14.5705,119.03736088267084,8.16975
14.5894,119.60079006562512,8.19779
14.5617,118.86498736462488,8.16285
14.5745,118.72445855806677,8.14604
14.6058,118.60785497138966,8.1206
14.6119,118.82713320233768,8.13222
14.5865,119.33847910450015,8.18143
14.6296,119.2479436613985,8.15114
14.5259,118.69275383689057,8.17111
14.5873,119.04342936697299,8.16076
14.6168,118.85150143362637,8.13116
14.6199,119.28647171407874,8.15919
14.6508,119.3266161406392,8.14472
14.6709,119.11199572338012,8.11893
14.6706,119.45665929033498,8.14259
14.5013,117.72376955731892,8.11815
14.5509,119.32629100828547,8.20061
14.5978,118.79436324211065,8.13783
14.5033,119.25577793015202,8.22267
14.706,119.16434638829037,8.10311
14.5777,119.12355146674525,8.17163
14.6069,119.60328327680645,8.18814
14.6604,119.2838425961894,8.13647
14.5783,120.22742171423556,8.24701
14.5618,119.07970539661812,8.17754
14.6502,118.36086625637438,8.07913
14.5898,120.13930696156461,8.23447
14.5872,119.3335346517091,8.1807
14.632,118.8188853149748,8.12048
14.4733,119.27161368223904,8.2408
14.6073,119.58729606686097,8.18682
14.6169,118.88214259964695,8.1332
14.6752,118.6643943322573,8.08605
14.7233,119.98020845999599,8.149
14.6246,119.35382908715974,8.16117
14.615,118.96036338899376,8.13961
14.5189,118.50311206301939,8.16199
14.6237,119.66153469322853,8.18271
14.489,119.93362952584567,8.27756
14.671,118.5868721763531,8.08308
14.5699,117.69841570994146,8.07819
14.7567,119.4791775372841,8.09661
14.6928,117.98024314628367,8.0298
14.6387,119.31430162401364,8.15061
14.6006,118.74131767956158,8.13263
14.6544,119.12786948059875,8.12915
14.6071,119.36532399613287,8.17173
14.6333,119.12793096542634,8.14088
14.554,119.29815435752198,8.19693
14.5884,118.77824965263471,8.14197
14.7066,119.83740485929076,8.14855
14.5744,118.76054908452966,8.14857
14.6408,118.20113326367198,8.07341
14.5945,117.87786066431721,8.07687
14.4588,120.37971544595746,8.32571
14.4203,121.27017887034015,8.40968
14.5374,119.84519455059944,8.24392
14.647,118.54586138544181,8.09353
14.5794,119.45738529717596,8.19357
14.5384,118.88465720568047,8.17729
14.6089,119.00781325526356,8.14625
14.6081,118.82707010406256,8.13433
14.5353,118.65032736307751,8.16291
14.5824,119.01340192630028,8.16144
14.7533,118.99762758942643,8.06583
14.4664,118.58323926378648,8.19715
14.6267,118.75063503040656,8.11876
14.4867,119.2423762521517,8.23116
14.4669,118.9173752162796,8.21996
14.6073,118.98694539907808,8.14572
14.6415,118.89175267710073,8.12019
14.4827,118.92087959395263,8.21124
14.4763,119.11287688293442,8.22813
14.6082,119.1555054311018,8.15675
14.4839,118.92443733191476,8.2108
14.6066,119.080904946386,8.15254
14.5931,119.49038055637413,8.18814
14.5328,119.14441589537614,8.19831
14.6707,118.56688770000272,8.08188
14.5691,118.82287286963629,8.15581
14.7065,118.97946884891212,8.09026
14.5823,119.21238832204153,8.17514
14.5419,119.8196173635477,8.23961
14.5532,118.90006539540116,8.17003
14.5653,118.99790900781204,8.16996
14.5513,119.21622522836213,8.19282
14.5973,118.41504021183061,8.11212
14.629,119.42391135374112,8.1635
14.6554,118.28913951023753,8.07137
14.7031,119.13354366077755,8.10261
14.6238,118.61901286573664,8.11137
14.5374,119.37836830124729,8.21181
14.6284,119.44187602306317,8.16507
14.4948,118.39916482662312,8.16839
