Time (s),Total Energy (J),Average Power (W)
123.322,274.567621751393,2.22643
97.3094,212.99012234995268,2.18879
96.5897,214.65807685600274,2.22237
96.557,214.6799431343267,2.22335
95.4102,212.5049092712356,2.22728
95.2997,211.93872140245244,2.22392
96.482,215.40410752536104,2.23258
95.5769,212.59931501785886,2.22438
96.0263,213.35252350027176,2.22181
95.4653,213.62174550479185,2.23769
95.4933,213.20653664082215,2.23269
95.1891,213.19881774183807,2.23974
95.2236,210.65478802308616,2.21221
95.8481,213.09138164037938,2.22322
95.2866,213.29468426833935,2.23845
97.0257,215.97494036778485,2.22596
97.0907,216.62150413106102,2.23113
97.1074,216.6062025355145,2.23058
96.3769,214.7700004645828,2.22844
95.9588,214.13979425224562,2.23158
96.274,213.1773588784657,2.21428
95.4638,212.76823176504055,2.22878
95.5219,213.08387646519878,2.23073
96.2708,213.5474498295465,2.2182
95.7428,213.74783120887037,2.23252
95.814,213.1837651816561,2.22498
95.2659,211.26684755957075,2.21765
95.9383,213.98229363154366,2.23042
96.3533,214.87939503476062,2.23012
95.8866,214.00914574491136,2.2319
97.7128,218.57396252386394,2.2369
95.3407,213.87520195833264,2.24327
95.3609,213.298492980654,2.23675
95.3955,211.25713694369773,2.21454
96.3862,215.4311548075922,2.23508
96.3807,215.0891933836586,2.23166
96.9982,216.8560290536586,2.23567
96.2788,213.64664385056108,2.21904
96.8831,216.80956332583162,2.23785
97.0978,217.03481936924163,2.23522
95.7923,213.68438763040928,2.23071
96.5522,214.79670171989494,2.22467
95.3095,212.99557548098323,2.23478
95.8587,214.84392234875403,2.24126
96.1411,214.68175180423816,2.23299
96.6428,215.21799788665263,2.22694
96.5401,216.42947712592502,2.24186
96.3593,215.268300589685,2.23402
95.6752,213.49866224486652,2.23149
95.6736,212.94527381794705,2.22575
96.8051,214.69415931073928,2.2178
96.1813,214.94827058974957,2.23482
96.3068,214.18580485888816,2.22399
95.5733,212.75301585142387,2.22607
95.4742,212.912775978448,2.23006
95.5606,214.42722070942295,2.24389
95.6171,212.7173390883604,2.22468
95.4864,213.4299113191008,2.23519
95.7098,212.2021895675099,2.21714
96.2792,213.9674144864171,2.22236
95.3634,213.63631063499147,2.24023
95.3908,212.66631002386808,2.22942
96.0755,214.67204066731338,2.23441
96.9763,216.09256743885334,2.2283
96.8238,215.35863282961006,2.22423
96.5239,214.72724436198337,2.2246
97.1012,216.37550374074274,2.22835
96.7085,213.54446306763174,2.20813
95.1849,212.5409234176502,2.23293
95.7057,214.18140168433646,2.23792
95.1669,212.94380257779076,2.23758
95.2166,210.97526430848328,2.21574
95.2358,212.5208922747944,2.23152
95.4346,213.07336743970336,2.23266
95.445,213.4401915729243,2.23626
95.2133,212.0658685147652,2.22727
95.0774,212.61061161675664,2.23618
95.466,211.1021756617776,2.21128
95.266,211.85987723346355,2.22388
95.5235,211.86145224650474,2.2179
95.6108,212.40247943461387,2.22153
95.9009,214.17435962604753,2.23329
96.0925,214.00897374754086,2.22711
96.4087,213.76184915218676,2.21725
96.2334,214.10421841189563,2.22484
95.3949,211.73833631916577,2.2196
95.2676,211.6505201371908,2.22164
95.6481,212.57625558307953,2.22248
95.3599,212.55955643830399,2.22902
95.1547,210.08991930669598,2.20788
96.1813,213.73074994075378,2.22217
96.1704,213.6896324823466,2.22199
96.4828,214.27758795873308,2.22089
95.5474,212.6712571777748,2.22582
95.7626,212.3683953898618,2.21765
96.7471,215.72362480261123,2.22977
96.1079,211.9171882083713,2.20499
95.4658,212.08951904927005,2.22163
95.9931,212.4858054363917,2.21355
95.3663,213.44055696928498,2.23811
