Time (s),Total Energy (J),Average Power (W)
14.6437,119.29873091905665,8.14676
14.8913,118.16358248843613,7.93508
15.0893,120.97462463161713,8.01725
14.8136,119.01831291781764,8.03439
14.8803,119.09058205379648,8.00324
14.8078,119.86214622205557,8.09453
14.8325,119.20549637998067,8.03678
14.9969,119.56266927674392,7.97249
14.7514,119.69686838566463,8.11427
14.8725,119.09537691223522,8.00776
14.8316,119.52203080190702,8.05861
14.6574,118.55178244135652,8.08819
14.8439,119.15271274683732,8.02705
14.687,118.87464250709661,8.09387
14.7961,119.13056291766543,8.05148
14.7509,119.48952396662582,8.10049
14.7344,118.85187183422283,8.06629
14.86,120.04476107842811,8.07838
15.0202,120.08307644631577,7.99477
14.7558,118.9219890321998,8.05934
14.8399,119.75900826797306,8.07007
14.7457,119.15866616006758,8.08091
14.9012,120.14461445977929,8.06275
15.0814,121.17515956879316,8.03474
14.7807,119.65808088892538,8.09556
14.7381,119.07561097920143,8.07944
14.883,119.64907327141793,8.03931
14.6665,117.40610345219181,8.00505
14.9246,120.32389651692586,8.06212
14.9627,120.38035836374422,8.04536
14.8372,119.67579559467686,8.06593
14.8421,118.6822932580775,7.99633
14.827,119.92147124258605,8.08805
14.811,120.40482459663815,8.12942
14.7779,120.0304993710555,8.1223
15.0057,119.74529419357185,7.97999
14.7753,118.38692552350727,8.01249
14.7356,118.52084068109929,8.04316
14.7912,119.35209438376074,8.06913
14.7506,117.9950729740977,7.99934
14.9249,119.88552831186792,8.03259
14.8298,119.09788734894914,8.03098
14.6423,117.35309799648269,8.01466
14.8045,119.17309371508992,8.04979
14.8567,119.48992974157886,8.04283
14.8452,118.9346655746208,8.01166
14.8408,119.46435673399975,8.04972
14.5415,118.30000065897332,8.13534
15.0689,119.6415006430019,7.93963
14.9455,118.98274203574562,7.96111
14.785,118.43101437367392,8.01021
14.9323,119.09419769381009,7.97561
14.6442,118.31054446389186,8.079
14.9469,120.38823821985807,8.0544
14.8827,119.00788401230818,7.99639
14.8566,118.53227843644572,7.97843
14.9102,119.37152270358263,8.00603
14.7822,118.91208046365091,8.04427
14.8345,119.46390141114637,8.05311
14.6774,118.65912547241396,8.08448
14.7935,118.64123742826644,8.01982
14.6458,119.25281208721026,8.14246
14.8736,119.79130693190348,8.05396
14.9375,118.9549267645927,7.96351
14.7351,119.5427269940185,8.11279
14.9225,119.6298227718035,8.01674
14.8792,119.21061340260911,8.0119
14.5914,118.50783559334195,8.12176
15.0107,120.36118983456868,8.01836
14.963,120.29725786453162,8.03965
14.8097,119.42733949326134,8.06413
14.9186,120.23177183735146,8.05919
14.6661,118.57899960232646,8.08524
14.9745,119.56675619260693,7.98469
14.7957,119.514583306492,8.07766
14.9118,119.67205446275932,8.02533
14.9767,121.07459404537951,8.0842
14.8735,118.82300423874563,7.98891
14.8173,120.02913940120044,8.10061
14.7617,117.62913625041261,7.96854
14.9301,119.95468126848982,8.03442
14.865,119.89006018181988,8.06526
14.7377,118.72923622825567,8.05616
14.7326,118.70507264385986,8.05731
14.7983,117.9616388380598,7.9713
14.7218,119.16795476690322,8.09466
14.8477,119.29080335900085,8.0343
14.7898,119.36315169082866,8.07064
14.8756,119.06079164693881,8.00376
14.7368,118.86862449194376,8.06611
14.737,118.79663471217543,8.06111
14.784,119.60122155466456,8.08991
14.716,118.70855519375436,8.06663
14.7763,119.12171715818238,8.06167
14.8077,119.62358155599986,8.07847
14.6912,118.50013116383025,8.06606
14.7433,119.15994709819842,8.08231
14.9343,120.10349085532755,8.04212
15.0366,118.7341364473632,7.89634
14.9101,119.39481051883524,8.00765
