Time (s),Total Energy (J),Average Power (W)
13.5092,112.26585947246622,8.31033
13.6384,111.36654809074571,8.16566
13.5871,111.4964712779173,8.20605
13.5367,111.0753114519814,8.20549
13.5037,110.81717709162399,8.20643
13.5361,111.15978309001412,8.2121
13.5063,110.93807195589284,8.2138
13.4896,111.21969161775883,8.24485
13.4672,111.31874612968909,8.26592
13.4484,111.00920501586427,8.25445
13.4133,111.55105475499056,8.31645
13.4364,111.7288722648949,8.31539
13.4066,111.24282144274332,8.29762
13.4259,111.71514447552636,8.32087
13.4242,111.68541382192916,8.31971
13.4174,111.72856088527283,8.32714
13.4811,111.56906820459596,8.27596
13.4685,111.85939759305222,8.30526
13.4821,111.95254665600157,8.30379
13.4058,111.65115997846658,8.32857
13.4218,111.63141191567286,8.31717
13.3918,110.84436858862216,8.27703
13.4251,111.28046794289287,8.28899
13.4492,111.7597953383571,8.30977
13.4579,111.89709500615845,8.3146
13.4315,111.36091910487039,8.29103
13.4377,111.74871889258486,8.31606
13.381,111.5990672824438,8.34011
13.4266,111.62803006163938,8.31395
13.3877,111.2801768528144,8.31212
13.4342,111.78714840093755,8.32109
13.4216,111.31069268310125,8.2934
13.4308,111.9390148066932,8.3345
13.4557,111.66808801082175,8.29894
13.4115,111.46051275590355,8.31082
13.439,111.59242076768771,8.30363
13.4436,111.97472937510827,8.32922
13.4653,111.59400553194848,8.28752
13.4015,111.37257646847684,8.31046
13.3945,111.6103519161851,8.33255
13.4024,111.53903530989476,8.32232
13.3833,111.36190905677302,8.32096
13.4355,111.80491495772048,8.3216
13.4174,111.1637176060375,8.28504
13.4063,112.68759174359525,8.40557
13.393,111.51206997017664,8.32615
13.4213,111.640149698458,8.31813
13.3983,111.52767759251344,8.32402
13.4207,111.74498115819881,8.32632
13.4235,111.60781396543109,8.31436
