Time (s),Total Energy (J),Average Power (W)
13.5735,112.7052180436699,8.30333
13.7251,112.1884234904602,8.17396
13.6789,111.86246901159654,8.17774
13.6595,111.97985721336079,8.19795
13.6778,111.83788341076468,8.1766
13.6279,111.45945926093202,8.17877
13.6679,112.02844155227172,8.19646
13.6709,111.82688573513678,8.17992
13.6265,111.75520347827944,8.20131
13.6168,111.13972306209257,8.16196
13.6567,111.53994677056096,8.16742
13.6268,111.2212135654463,8.16195
13.5903,111.34820932881144,8.19321
13.6353,111.49041048049526,8.1766
13.6386,111.51317651369914,8.17629
13.6036,111.19095758250216,8.17364
13.6294,111.34639172021605,8.16957
13.612,111.70619746344744,8.20645
13.649,111.69718426060774,8.18354
13.6077,111.45023602478341,8.19023
13.5938,111.59092132894375,8.20896
13.6647,111.72543428837525,8.17621
13.5909,111.33549422205192,8.19191
13.6376,111.85897760048374,8.20225
13.6052,111.26682212731998,8.17826
13.6406,111.17626135716307,8.15039
13.6042,111.41794943516061,8.18997
13.6043,111.27189648778551,8.17917
13.5703,111.06639057304187,8.18452
13.5912,111.9391010717984,8.23615
13.6122,111.45326048983509,8.18775
13.6327,111.73281985934989,8.19594
13.6049,111.75800063819156,8.21454
13.5833,111.21232700485302,8.18743
13.5988,111.49605610600213,8.19896
13.5596,111.31409772501911,8.20925
13.6219,111.88492414509608,8.21361
13.5848,111.1734367704014,8.18366
13.584,111.7909567210437,8.22961
13.6352,111.9508312265466,8.21043
13.6036,112.15362202712822,8.24441
13.596,111.54408263385051,8.20418
13.5598,111.11060459828593,8.19412
13.6209,111.96157448964914,8.21984
13.5524,111.67653461798534,8.24035
13.6065,111.67236785156524,8.20728
13.5885,111.79587630114827,8.22724
13.6162,111.74490584932846,8.20676
13.5913,111.65866148930309,8.21545
13.613,111.75722968000832,8.2096
13.6329,112.12606448981307,8.22467
13.5866,111.91183676260653,8.23693
13.5172,113.401471125316,8.38942
13.4456,113.23723195296509,8.42188
13.5642,111.71605500626902,8.2361
13.603,111.92530239770053,8.22799
13.6114,111.32824295486705,8.17904
13.575,111.26290887890718,8.19616
13.5713,111.56603510589287,8.22073
13.576,111.90962995384098,8.2432
13.5472,111.38669811151112,8.22212
13.6036,111.70041448067593,8.21109
13.5484,111.80953851847494,8.2526
13.6065,111.91830142702463,8.22536
13.5449,111.82243561887765,8.25569
13.5671,112.028166041865,8.25734
13.5637,111.54122430100335,8.22351
13.5677,111.5141706171238,8.21909
13.6533,112.25782736999088,8.22203
13.6019,111.91085824733113,8.22759
13.6608,112.24242893025905,8.21639
13.6219,112.10806711259852,8.22999
13.5482,111.4353375213675,8.2251
13.5557,111.83234891841198,8.24984
13.6013,112.21272034833271,8.25015
13.5514,111.85880473276086,8.25441
13.5636,111.26117332356478,8.20292
13.5977,111.98527602859292,8.2356
13.5747,111.62367257271433,8.22292
13.59,112.10885777721478,8.24936
13.6226,111.92163416188475,8.21588
13.5597,111.5432411101325,8.22608
13.5677,111.46216949127722,8.21526
13.5194,111.09380672110649,8.21736
13.6335,111.97693042536184,8.21337
13.6404,112.08742603992084,8.21731
13.6014,111.90799985300782,8.22768
13.7165,112.39260702576087,8.19397
13.5348,111.58155343786632,8.24405
13.5515,111.99276846002283,8.26423
13.5363,111.54269915817474,8.24027
13.5178,111.70725048273084,8.26372
13.5284,111.99760946768185,8.2787
13.5872,111.96771350295762,8.24068
13.578,111.71276593998562,8.22748
13.579,112.15223772184368,8.25924
13.5453,111.79375854063392,8.25332
13.5536,111.51812559400264,8.22793
13.596,111.48116283926504,8.19956
13.5577,111.53645129220752,8.2268
